split,filename,domain,lhs_class,rhs_class,lhs_area,rhs_area,violation_ratio,objects_in_image,lhs_bbox_index,rhs_bbox_index,review_reason
train,DAMIMAS_A21B_0286_2.jpg,DAMIMAS,B2,B3,2540,20220,7.962,6,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0222_4.jpg,DAMIMAS,B1,B4,660,5187,7.862,7,0,2,B1 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0342_2.jpg,DAMIMAS,B1,B3,314,2466,7.850,8,1,4,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0684_4.jpg,DAMIMAS,B2,B3,2319,18012,7.769,9,2,6,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0546_1.jpg,DAMIMAS,B3,B4,404,3128,7.745,8,7,0,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0570_3.jpg,DAMIMAS,B3,B4,3153,24400,7.739,6,3,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0688_3.jpg,DAMIMAS,B3,B4,6173,47705,7.728,7,2,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0062_4.jpg,DAMIMAS,B1,B2,4148,31943,7.700,6,0,1,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0720_1.jpg,DAMIMAS,B2,B3,5176,38617,7.461,6,4,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0265_1.jpg,DAMIMAS,B2,B3,4051,30225,7.461,6,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0209_3.jpg,DAMIMAS,B2,B3,3364,25062,7.450,4,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0053_2.jpg,DAMIMAS,B2,B3,2384,17699,7.423,4,2,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0493_4.jpg,DAMIMAS,B2,B4,1155,8505,7.365,5,4,1,B2 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0342_2.jpg,DAMIMAS,B1,B4,314,2304,7.335,8,1,6,B1 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0294_3.jpg,DAMIMAS,B2,B3,2790,20263,7.262,5,4,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0610_2.jpg,DAMIMAS,B3,B4,5715,40497,7.086,5,4,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0746_4.jpg,DAMIMAS,B2,B3,4053,28578,7.051,6,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0669_3.jpg,DAMIMAS,B2,B3,4759,32627,6.856,7,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0676_2.jpg,DAMIMAS,B3,B4,913,6235,6.832,8,7,1,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0745_3.jpg,DAMIMAS,B2,B3,4728,32203,6.811,7,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0677_1.jpg,DAMIMAS,B2,B3,3504,23810,6.796,8,3,6,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0282_1.jpg,DAMIMAS,B1,B2,4885,32811,6.716,4,2,0,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0781_2.jpg,DAMIMAS,B2,B3,1704,11419,6.703,7,6,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0746_4.jpg,DAMIMAS,B1,B3,3211,21469,6.687,6,1,3,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0521_2.jpg,DAMIMAS,B3,B4,2976,19891,6.684,4,1,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0704_4.jpg,DAMIMAS,B2,B3,7187,48008,6.680,7,1,4,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0649_3.jpg,DAMIMAS,B3,B4,4805,31782,6.614,7,4,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0413_4.jpg,DAMIMAS,B3,B4,2678,17670,6.599,7,6,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0815_7.jpg,DAMIMAS,B3,B4,1011,6600,6.529,7,6,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0393_2.jpg,DAMIMAS,B2,B3,3450,22466,6.513,5,1,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0617_3.jpg,DAMIMAS,B1,B2,13235,86089,6.505,5,4,1,B1 lebih kecil dari B2 dalam gambar yang sama
train,LONSUM_A21A_0088_2.jpg,LONSUM,B2,B3,1181,7657,6.482,4,3,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0698_3.jpg,DAMIMAS,B1,B4,2736,17717,6.475,6,5,1,B1 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0449_1.jpg,DAMIMAS,B2,B3,989,6384,6.453,7,6,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0689_3.jpg,DAMIMAS,B2,B3,7328,47189,6.439,6,4,3,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0510_2.jpg,DAMIMAS,B2,B3,6095,38929,6.387,5,4,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0805_4.jpg,DAMIMAS,B2,B4,5671,36153,6.375,7,5,3,B2 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0170_3.jpg,DAMIMAS,B2,B4,1829,11580,6.331,7,3,5,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0627_4.jpg,DAMIMAS,B1,B3,3554,22258,6.263,5,2,4,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0745_4.jpg,DAMIMAS,B3,B4,1936,12074,6.236,7,5,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0565_1.jpg,DAMIMAS,B3,B4,2063,12855,6.231,6,5,2,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0570_4.jpg,DAMIMAS,B2,B3,5591,34654,6.198,6,5,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0621_2.jpg,DAMIMAS,B1,B2,3786,23437,6.191,8,1,2,B1 lebih kecil dari B2 dalam gambar yang sama
train,DAMIMAS_A21B_0509_2.jpg,DAMIMAS,B3,B4,2690,16555,6.154,5,4,1,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0557_3.jpg,DAMIMAS,B3,B4,930,5705,6.134,7,6,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0844_3.jpg,DAMIMAS,B2,B3,3178,19281,6.068,6,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0186_1.jpg,DAMIMAS,B1,B3,3715,22420,6.034,4,3,0,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0722_4.jpg,DAMIMAS,B1,B3,9084,54715,6.023,4,3,0,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0720_3.jpg,DAMIMAS,B2,B3,5651,33800,5.981,7,6,4,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0686_1.jpg,DAMIMAS,B1,B2,7478,44674,5.974,7,3,2,B1 lebih kecil dari B2 dalam gambar yang sama
val,DAMIMAS_A21B_0342_2.jpg,DAMIMAS,B1,B4,314,1876,5.971,8,1,7,B1 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0805_4.jpg,DAMIMAS,B2,B3,5671,33790,5.958,7,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0677_1.jpg,DAMIMAS,B2,B4,3504,20779,5.931,8,3,0,B2 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0749_3.jpg,DAMIMAS,B3,B4,3959,23314,5.889,6,4,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0594_3.jpg,DAMIMAS,B3,B4,2898,17026,5.875,7,5,4,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0597_4.jpg,DAMIMAS,B3,B4,10037,58884,5.867,4,3,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0617_1.jpg,DAMIMAS,B1,B3,4859,28369,5.838,5,4,3,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0800_2.jpg,DAMIMAS,B2,B3,9952,57488,5.777,4,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0137_2.jpg,DAMIMAS,B2,B3,4230,24378,5.764,4,3,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0669_3.jpg,DAMIMAS,B2,B3,4759,27417,5.761,7,0,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0677_1.jpg,DAMIMAS,B2,B3,3504,20171,5.757,8,3,4,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0720_1.jpg,DAMIMAS,B2,B3,5176,29725,5.743,6,4,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0608_1.jpg,DAMIMAS,B2,B3,5067,29090,5.740,7,6,4,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0586_3.jpg,DAMIMAS,B2,B3,6161,35262,5.723,5,3,0,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0294_3.jpg,DAMIMAS,B2,B3,2790,15926,5.707,5,4,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0581_2.jpg,DAMIMAS,B3,B4,2448,13951,5.699,6,5,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0688_3.jpg,DAMIMAS,B3,B4,8379,47705,5.694,7,6,5,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0677_1.jpg,DAMIMAS,B2,B3,3504,19937,5.690,8,3,7,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0614_4.jpg,DAMIMAS,B2,B3,8299,47147,5.681,7,1,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0740_1.jpg,DAMIMAS,B2,B3,10276,58142,5.658,5,4,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0622_2.jpg,DAMIMAS,B3,B4,3666,20566,5.610,6,2,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0394_2.jpg,DAMIMAS,B2,B3,2603,14522,5.579,6,2,3,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0510_2.jpg,DAMIMAS,B2,B3,6095,33998,5.578,5,4,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0808_1.jpg,DAMIMAS,B3,B4,5325,29672,5.573,6,5,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0182_1.jpg,DAMIMAS,B2,B3,4677,25984,5.556,6,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0808_4.jpg,DAMIMAS,B2,B3,7021,38900,5.540,6,4,3,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0847_6.jpg,DAMIMAS,B2,B3,3741,20543,5.492,4,3,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0788_3.jpg,DAMIMAS,B3,B4,2381,12988,5.455,6,5,1,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0490_2.jpg,DAMIMAS,B3,B4,2623,14271,5.441,6,5,3,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0003_2.jpg,DAMIMAS,B2,B3,3607,19526,5.413,5,1,3,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0294_2.jpg,DAMIMAS,B2,B3,3110,16793,5.400,6,5,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0163_2.jpg,DAMIMAS,B1,B2,3125,16824,5.383,7,4,2,B1 lebih kecil dari B2 dalam gambar yang sama
test,DAMIMAS_A21B_0294_3.jpg,DAMIMAS,B2,B3,2790,15017,5.382,5,4,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0676_2.jpg,DAMIMAS,B3,B4,913,4906,5.376,8,7,6,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0449_1.jpg,DAMIMAS,B2,B3,989,5317,5.374,7,6,1,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0697_4.jpg,DAMIMAS,B3,B4,3090,16513,5.345,6,1,5,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0510_2.jpg,DAMIMAS,B2,B3,6095,32525,5.336,5,4,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0693_1.jpg,DAMIMAS,B2,B3,11135,59066,5.305,6,5,2,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0206_2.jpg,DAMIMAS,B2,B3,2487,13192,5.304,6,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0720_3.jpg,DAMIMAS,B2,B4,5651,29950,5.299,7,6,1,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0746_4.jpg,DAMIMAS,B2,B3,4053,21469,5.297,6,2,3,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0686_1.jpg,DAMIMAS,B1,B4,7478,39585,5.294,7,3,5,B1 lebih kecil dari B4 dalam gambar yang sama
train,LONSUM_A21A_0036_2.jpg,LONSUM,B2,B3,2104,11086,5.269,3,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0209_3.jpg,DAMIMAS,B2,B3,3364,17700,5.261,4,2,0,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0772_1.jpg,DAMIMAS,B1,B3,7545,39691,5.260,3,1,2,B1 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0294_2.jpg,DAMIMAS,B2,B3,3110,16357,5.259,6,5,4,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0206_2.jpg,DAMIMAS,B2,B3,2487,13077,5.257,6,0,3,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0684_4.jpg,DAMIMAS,B2,B3,2319,12182,5.254,9,2,5,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0745_3.jpg,DAMIMAS,B2,B3,4728,24805,5.247,7,5,1,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0839_2.jpg,DAMIMAS,B1,B3,2844,14864,5.226,5,1,3,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0745_3.jpg,DAMIMAS,B2,B3,4728,24639,5.212,7,5,4,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0170_3.jpg,DAMIMAS,B2,B3,1829,9520,5.205,7,3,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0701_3.jpg,DAMIMAS,B2,B3,10377,53805,5.185,6,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0510_3.jpg,DAMIMAS,B2,B3,4497,23267,5.174,7,6,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0685_4.jpg,DAMIMAS,B2,B3,10498,53813,5.126,6,0,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0410_2.jpg,DAMIMAS,B3,B4,1576,8070,5.121,8,6,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0811_6.jpg,DAMIMAS,B2,B3,2516,12861,5.112,6,4,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0102_2.jpg,DAMIMAS,B3,B4,2326,11861,5.098,5,4,3,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0378_1.jpg,DAMIMAS,B1,B3,1993,10153,5.095,7,2,0,B1 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0684_4.jpg,DAMIMAS,B2,B4,2319,11773,5.078,9,2,0,B2 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0557_2.jpg,DAMIMAS,B1,B2,3798,19283,5.078,6,1,0,B1 lebih kecil dari B2 dalam gambar yang sama
val,DAMIMAS_A21B_0708_2.jpg,DAMIMAS,B3,B4,10408,52825,5.075,7,5,2,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0553_3.jpg,DAMIMAS,B2,B3,2980,15064,5.055,5,3,0,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0562_2.jpg,DAMIMAS,B2,B3,3510,17712,5.047,7,1,2,B2 lebih kecil dari B3 dalam gambar yang sama
val,DAMIMAS_A21B_0289_1.jpg,DAMIMAS,B2,B3,4228,21276,5.032,4,3,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0561_3.jpg,DAMIMAS,B2,B3,8808,43979,4.993,5,0,1,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0752_1.jpg,DAMIMAS,B1,B3,7502,37380,4.983,3,2,0,B1 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0645_3.jpg,DAMIMAS,B3,B4,8856,44120,4.982,3,0,2,B3 lebih kecil dari B4 dalam gambar yang sama
val,DAMIMAS_A21B_0724_1.jpg,DAMIMAS,B2,B3,8889,44272,4.981,3,0,2,B2 lebih kecil dari B3 dalam gambar yang sama
train,DAMIMAS_A21B_0345_1.jpg,DAMIMAS,B2,B3,2808,13950,4.969,3,2,1,B2 lebih kecil dari B3 dalam gambar yang sama
test,DAMIMAS_A21B_0657_1.jpg,DAMIMAS,B3,B4,4190,20772,4.958,7,2,3,B3 lebih kecil dari B4 dalam gambar yang sama
test,DAMIMAS_A21B_0005_4.jpg,DAMIMAS,B2,B4,1178,5834,4.953,5,4,3,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0608_1.jpg,DAMIMAS,B2,B4,5067,25047,4.943,7,6,1,B2 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0009_2.jpg,DAMIMAS,B3,B4,1803,8871,4.921,3,2,1,B3 lebih kecil dari B4 dalam gambar yang sama
train,DAMIMAS_A21B_0668_1.jpg,DAMIMAS,B3,B4,5901,29037,4.921,6,5,4,B3 lebih kecil dari B4 dalam gambar yang sama
